序号	文件名	起始点	终止点	距离	所选区域的总像素	平均灰度							
1	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'56'11'203.jpg	(342:507)	(797:795)	538	131040	77.85							
2	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'56'18'562.jpg	(342:507)	(797:795)	538	131040	79.14							
3	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'56'27'640.jpg	(342:507)	(797:795)	538	131040	80.59							
4	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'56'35'531.jpg	(342:507)	(797:795)	538	131040	81.31	-2		72.78				
5	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'56'41'718.jpg	(342:507)	(797:795)	538	131040	82.15	-1.8	72.96	72.86				
6	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'56'48'968.jpg	(342:507)	(797:795)	538	131040	82.59	-1.6	72.98	73.09				
7	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'56'59'218.jpg	(342:507)	(797:795)	538	131040	82.91	-1.4	73.17	73.18				
8	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'57'14'46.jpg	(342:507)	(797:795)	538	131040	83.03	-1.2	73.3	73.2				
9	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'57'22'359.jpg	(342:507)	(797:795)	538	131040	83.16	-1	73.36	73.27				
10	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'57'30'359.jpg	(342:507)	(797:795)	538	131040	83.3	-0.8	73.41	73.7				
11	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'57'37'828.jpg	(342:507)	(797:795)	538	131040	83.2	-0.6	74.35	74.59				
12	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'57'46'265.jpg	(342:507)	(797:795)	538	131040	83.11	-0.4	75.22	75.92				
13	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'57'52'984.jpg	(342:507)	(797:795)	538	131040	82.76	-0.2	76.55	76.82				
14	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'57'57'671.jpg	(342:507)	(797:795)	538	131040	82.65	0	77.36	77.7	77.85			
15	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'57'6'687.jpg	(342:507)	(797:795)	538	131040	83	0.2	78.74	79.08	79.14			
16	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'58'11'875.jpg	(342:507)	(797:795)	538	131040	82.42	0.4	79.83	80.62	80.59			
17	d:\我的文档\桌面\2019012137\锐化滞回线\1\17'58'18'593.jpg	(342:507)	(797:795)	538	131040	81.56	0.6	81.03	81.56	81.31			
